repo_full_name,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
ansible/ansible,66679,87.42,-1,-1,2025-10-07T20:11:58Z,https://github.com/ansible/ansible,,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
xtekky/gpt4free,65387,98.25,-1,-1,2025-10-08T12:09:35Z,https://github.com/xtekky/gpt4free,,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
All-Hands-AI/OpenHands,64016,78.31,-1,-1,2025-10-08T14:44:29Z,https://github.com/All-Hands-AI/OpenHands,,"🙌 OpenHands: Code Less, Make More"
scikit-learn/scikit-learn,63590,92.45,-1,-1,2025-10-08T15:00:39Z,https://github.com/scikit-learn/scikit-learn,,scikit-learn: machine learning in Python
keras-team/keras,63458,99.96,-1,-1,2025-10-08T08:34:47Z,https://github.com/keras-team/keras,,Deep Learning for humans
labmlai/annotated_deep_learning_paper_implementations,63446,89.63,-1,-1,2025-09-19T10:18:51Z,https://github.com/labmlai/annotated_deep_learning_paper_implementations,,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
localstack/localstack,60749,99.05,-1,-1,2025-10-08T14:28:38Z,https://github.com/localstack/localstack,,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
openinterpreter/open-interpreter,60601,98.46,-1,-1,2025-08-06T17:38:07Z,https://github.com/openinterpreter/open-interpreter,,A natural language interface for computers
hiyouga/LLaMA-Factory,59815,99.55,-1,-1,2025-10-07T16:18:35Z,https://github.com/hiyouga/LLaMA-Factory,,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
vllm-project/vllm,59629,85.32,-1,-1,2025-10-08T14:55:43Z,https://github.com/vllm-project/vllm,,A high-throughput and memory-efficient inference and serving engine for LLMs
FoundationAgents/MetaGPT,58818,97.49,-1,-1,2025-10-04T05:57:57Z,https://github.com/FoundationAgents/MetaGPT,,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
scrapy/scrapy,58521,99.78,-1,-1,2025-10-06T09:43:37Z,https://github.com/scrapy/scrapy,,"Scrapy, a fast high-level web crawling & scraping framework for Python."
commaai/openpilot,58278,57.47,-1,-1,2025-10-08T15:07:25Z,https://github.com/commaai/openpilot,,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars."
CorentinJ/Real-Time-Voice-Cloning,58120,100.00,-1,-1,2025-09-23T07:21:53Z,https://github.com/CorentinJ/Real-Time-Voice-Cloning,,Clone a voice in 5 seconds to generate arbitrary speech in real-time
PaddlePaddle/PaddleOCR,56743,77.17,-1,-1,2025-10-06T18:17:51Z,https://github.com/PaddlePaddle/PaddleOCR,,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 80+ languages."
ultralytics/yolov5,55578,98.45,-1,-1,2025-10-04T12:12:42Z,https://github.com/ultralytics/yolov5,,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
deepfakes/faceswap,54555,98.67,-1,-1,2025-09-18T13:22:25Z,https://github.com/deepfakes/faceswap,,Deepfakes Software For All
unclecode/crawl4ai,54323,99.39,-1,-1,2025-10-08T10:43:28Z,https://github.com/unclecode/crawl4ai,,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
Textualize/rich,53976,99.92,-1,-1,2025-08-13T10:52:09Z,https://github.com/Textualize/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.
psf/requests,53348,99.30,-1,-1,2025-09-09T09:00:21Z,https://github.com/psf/requests,,"A simple, yet elegant, HTTP library."
OpenBB-finance/OpenBB,53019,100.00,-1,-1,2025-10-08T15:07:04Z,https://github.com/OpenBB-finance/OpenBB,,"Financial data platform for analysts, quants and AI agents."
RVC-Boss/GPT-SoVITS,51384,96.56,-1,-1,2025-09-10T07:01:05Z,https://github.com/RVC-Boss/GPT-SoVITS,,1 min voice data can also be used to train a good TTS model! (few shot voice cloning)
Asabeneh/30-Days-Of-Python,50992,94.69,-1,-1,2025-10-01T18:29:59Z,https://github.com/Asabeneh/30-Days-Of-Python,,"30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace.  These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
microsoft/autogen,50568,61.47,-1,-1,2025-10-08T04:58:17Z,https://github.com/microsoft/autogen,,A programming framework for agentic AI
FoundationAgents/OpenManus,50169,97.85,-1,-1,2025-09-30T21:06:32Z,https://github.com/FoundationAgents/OpenManus,,"No fortress, purely open ground.  OpenManus is Coming."
charlax/professional-programming,49376,72.30,-1,-1,2025-10-07T02:31:14Z,https://github.com/charlax/professional-programming,,A collection of learning resources for curious software engineers
ultralytics/ultralytics,46977,99.53,-1,-1,2025-10-08T12:11:13Z,https://github.com/ultralytics/ultralytics,,Ultralytics YOLO 🚀
pandas-dev/pandas,46770,90.98,-1,-1,2025-10-07T22:51:26Z,https://github.com/pandas-dev/pandas,,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
lllyasviel/Fooocus,46742,96.73,-1,-1,2025-09-02T20:28:44Z,https://github.com/lllyasviel/Fooocus,,Focus on prompting and generating
unslothai/unsloth,46692,99.88,-1,-1,2025-10-08T03:52:37Z,https://github.com/unslothai/unsloth,,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, DeepSeek-R1, Qwen3, Gemma 3, TTS 2x faster with 70% less VRAM."
odoo/odoo,46490,50.91,-1,-1,2025-10-08T15:00:56Z,https://github.com/odoo/odoo,,Odoo. Open Source Apps To Grow Your Business.
pathwaycom/pathway,45674,66.74,-1,-1,2025-10-08T05:02:39Z,https://github.com/pathwaycom/pathway,,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
opendatalab/MinerU,45414,99.73,-1,-1,2025-09-29T22:31:58Z,https://github.com/opendatalab/MinerU,,Transforms complex documents like PDFs into LLM-ready markdown/JSON for your Agentic workflows.
oobabooga/text-generation-webui,45122,88.01,-1,-1,2025-10-07T21:33:28Z,https://github.com/oobabooga/text-generation-webui,,"The definitive Web UI for local AI, with powerful features and easy setup."
run-llama/llama_index,44628,57.91,-1,-1,2025-10-07T23:12:52Z,https://github.com/run-llama/llama_index,,LlamaIndex is the leading framework for building LLM-powered agents over your data.
freqtrade/freqtrade,43412,98.34,-1,-1,2025-10-08T05:12:00Z,https://github.com/freqtrade/freqtrade,,"Free, open source crypto trading bot"
apache/airflow,42706,92.07,-1,-1,2025-10-08T12:08:39Z,https://github.com/apache/airflow,,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
faif/python-patterns,42239,98.19,-1,-1,2025-09-05T18:57:41Z,https://github.com/faif/python-patterns,,A collection of design patterns/idioms in Python
getsentry/sentry,42157,56.56,-1,-1,2025-10-08T15:21:41Z,https://github.com/getsentry/sentry,,Developer-first error tracking and performance monitoring
streamlit/streamlit,41702,59.57,-1,-1,2025-10-08T12:52:08Z,https://github.com/streamlit/streamlit,,Streamlit — A faster way to build and share data apps.
virattt/ai-hedge-fund,41699,57.65,-1,-1,2025-09-30T21:55:53Z,https://github.com/virattt/ai-hedge-fund,,An AI Hedge Fund Team
mingrammer/diagrams,41583,94.97,-1,-1,2025-10-06T08:02:14Z,https://github.com/mingrammer/diagrams,,:art: Diagram as Code for prototyping cloud system architectures
hpcaitech/ColossalAI,41195,93.16,-1,-1,2025-10-06T17:48:50Z,https://github.com/hpcaitech/ColossalAI,,"Making large AI models cheaper, faster and more accessible"
psf/black,41012,99.72,-1,-1,2025-10-06T21:50:26Z,https://github.com/psf/black,,The uncompromising Python code formatter
docling-project/docling,40909,98.35,-1,-1,2025-10-08T13:41:55Z,https://github.com/docling-project/docling,,Get your documents ready for gen AI
mem0ai/mem0,40907,66.24,-1,-1,2025-10-07T08:42:59Z,https://github.com/mem0ai/mem0,,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
mitmproxy/mitmproxy,40765,80.60,-1,-1,2025-10-05T11:43:24Z,https://github.com/mitmproxy/mitmproxy,,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
deepspeedai/DeepSpeed,40326,72.15,-1,-1,2025-10-07T23:36:21Z,https://github.com/deepspeedai/DeepSpeed,,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
chubin/cheat.sh,40291,67.53,-1,-1,2025-08-08T05:15:06Z,https://github.com/chubin/cheat.sh,,the only cheat sheet you need
gradio-app/gradio,40135,52.43,-1,-1,2025-10-08T12:18:03Z,https://github.com/gradio-app/gradio,,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
zhayujie/chatgpt-on-wechat,39285,92.87,-1,-1,2025-08-08T02:47:49Z,https://github.com/zhayujie/chatgpt-on-wechat,,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
ray-project/ray,39233,73.80,-1,-1,2025-10-08T11:29:46Z,https://github.com/ray-project/ray,,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
ccxt/ccxt,39079,23.17,-1,-1,2025-10-08T10:20:00Z,https://github.com/ccxt/ccxt,,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go
crewAIInc/crewAI,38952,99.90,-1,-1,2025-10-08T14:42:22Z,https://github.com/crewAIInc/crewAI,,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
Aider-AI/aider,37838,80.07,-1,-1,2025-10-05T19:11:17Z,https://github.com/Aider-AI/aider,,aider is AI pair programming in your terminal
gto76/python-cheatsheet,37824,50.70,-1,-1,2025-10-05T13:11:45Z,https://github.com/gto76/python-cheatsheet,,Comprehensive Python Cheatsheet
NanmiCoder/MediaCrawler,37680,100.00,-1,-1,2025-10-02T06:27:20Z,https://github.com/NanmiCoder/MediaCrawler,,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫
mindsdb/mindsdb,36285,99.82,-1,-1,2025-10-08T14:20:47Z,https://github.com/mindsdb/mindsdb,,"AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need"
yeongpin/cursor-free-vip,36097,93.75,-1,-1,2025-09-16T03:47:39Z,https://github.com/yeongpin/cursor-free-vip,,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.
hankcs/HanLP,35718,79.51,-1,-1,2025-09-11T01:40:39Z,https://github.com/hankcs/HanLP,,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理
roboflow/supervision,35522,100.00,-1,-1,2025-10-06T17:52:04Z,https://github.com/roboflow/supervision,,We write your reusable computer vision tools. 💜
sqlmapproject/sqlmap,35465,98.27,-1,-1,2025-10-07T08:48:36Z,https://github.com/sqlmapproject/sqlmap,,Automatic SQL injection and database takeover tool
huggingface/pytorch-image-models,35422,86.98,-1,-1,2025-10-06T18:37:07Z,https://github.com/huggingface/pytorch-image-models,,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more"
Zie619/n8n-workflows,35394,51.98,-1,-1,2025-09-30T20:45:37Z,https://github.com/Zie619/n8n-workflows,,all of the workflows of n8n i could find (also from the site itself)
ManimCommunity/manim,34944,98.19,-1,-1,2025-10-06T17:19:45Z,https://github.com/ManimCommunity/manim,,A community-maintained Python framework for creating mathematical animations.
agno-agi/agno,34158,99.53,-1,-1,2025-10-08T15:18:03Z,https://github.com/agno-agi/agno,,"High-performance SDK and runtime for multi-agent systems. Build, run and manage secure multi-agent systems in your cloud."
geekcomputers/Python,34119,94.38,-1,-1,2025-10-07T20:48:52Z,https://github.com/geekcomputers/Python,,My Python Examples
python-poetry/poetry,33938,88.89,-1,-1,2025-10-06T22:03:26Z,https://github.com/python-poetry/poetry,,Python packaging and dependency management made easy
