repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
arc53/DocsGPT,,17159,51.65,212,307,2025-10-08T15:18:55Z,https://github.com/arc53/DocsGPT,flask,"Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
DrewThomasson/ebook2audiobook,,11554,89.48,27,1651,2025-09-25T21:18:54Z,https://github.com/DrewThomasson/ebook2audiobook,"fastapi,gradio","Generate audiobooks from e-books, voice cloning & 1107+ languages!"
jupyterhub/jupyterhub,,8143,90.06,384,126,2025-10-07T15:22:53Z,https://github.com/jupyterhub/jupyterhub,fastapi,Multi-user server for Jupyter notebooks
onyx-dot-app/onyx,,15431,69.1,163,382,2025-10-08T17:29:44Z,https://github.com/onyx-dot-app/onyx,fastapi,Open Source AI Platform - AI Chat with advanced features that works with every LLM
LibreTranslate/LibreTranslate,,12800,74.36,272,49,2025-09-23T17:31:08Z,https://github.com/LibreTranslate/LibreTranslate,flask,"Free and Open Source Machine Translation API. Self-hosted, offline capable and easy to setup."
comet-ml/opik,,14619,71.15,76,820,2025-10-08T17:02:39Z,https://github.com/comet-ml/opik,flask,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards."
wandb/wandb,,10385,76.03,222,344,2025-10-08T17:16:25Z,https://github.com/wandb/wandb,"fastapi,flask","The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production."
mealie-recipes/mealie,,10231,60.78,201,385,2025-10-08T15:47:20Z,https://github.com/mealie-recipes/mealie,fastapi,Mealie is a self hosted recipe manager and meal planner with a RestAPI backend and a reactive frontend application built in Vue for a pleasant user experience for the whole family. Easily add recipes into your database by providing the url and mealie will automatically import the relevant data or add a family recipe with the UI editor
Fosowl/agenticSeek,,22075,81.35,32,15,2025-09-14T18:15:49Z,https://github.com/Fosowl/agenticSeek,"fastapi,flask","Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)"
Skyvern-AI/skyvern,,14530,64.39,64,578,2025-10-08T17:21:47Z,https://github.com/Skyvern-AI/skyvern,fastapi,Automate browser-based workflows with LLMs and Computer Vision
emcie-co/parlant,,13530,88.45,21,876,2025-10-06T07:53:44Z,https://github.com/emcie-co/parlant,fastapi,LLM agents built for control. Designed for real-world use. Deployed in minutes.
getzep/graphiti,,18705,99.51,33,149,2025-10-08T14:45:53Z,https://github.com/getzep/graphiti,fastapi,Build Real-Time Knowledge Graphs for AI Agents
polarsource/polar,,7319,59.42,83,968,2025-10-08T15:23:10Z,https://github.com/polarsource/polar,fastapi,Turn your software into a business.
soxoj/maigret,,17703,65.94,48,57,2025-10-08T07:58:01Z,https://github.com/soxoj/maigret,flask,🕵️‍♂️ Collect a dossier on a person by username from thousands of sites
wger-project/wger,,5211,88.95,272,138,2025-10-08T16:11:41Z,https://github.com/wger-project/wger,django,"Self hosted FLOSS fitness/workout, nutrition and weight tracker"
Mailu/Mailu,,6831,73.05,246,47,2025-10-07T13:40:46Z,https://github.com/Mailu/Mailu,flask,Insular email distribution - mail server as Docker images
suitenumerique/docs,,13845,53.35,52,201,2025-10-08T15:15:29Z,https://github.com/suitenumerique/docs,django,"A collaborative note taking, wiki and documentation platform that scales. Built with Django and React."
benbusby/whoogle-search,,11004,64.54,140,34,2025-10-04T15:30:30Z,https://github.com/benbusby/whoogle-search,flask,"A self-hosted, ad-free, privacy-respecting metasearch engine"
keephq/keep,,10776,63.07,139,52,2025-10-07T13:03:04Z,https://github.com/keephq/keep,fastapi,The open-source AIOps and alert management platform
jianchang512/pyvideotrans,,14548,99.98,20,69,2025-09-18T13:40:42Z,https://github.com/jianchang512/pyvideotrans,flask,Translate the video from one language to another and add dubbing.         将视频从一种语言翻译为另一种语言，同时支持语音识别转录、语音合成、字幕翻译。
SWivid/F5-TTS,,13362,98.42,54,10,2025-09-13T05:44:08Z,https://github.com/SWivid/F5-TTS,gradio,"Official code for ""F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching"""
xorbitsai/inference,,8597,88.53,120,121,2025-10-01T00:56:25Z,https://github.com/xorbitsai/inference,"fastapi,gradio","Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop."
healthchecks/healthchecks,,9486,63.66,101,80,2025-10-08T08:02:49Z,https://github.com/healthchecks/healthchecks,django,"Open-source cron job and background task monitoring service, written in Python & Django"
sissbruecker/linkding,,9187,81.64,108,48,2025-10-05T18:16:10Z,https://github.com/sissbruecker/linkding,django,"Self-hosted bookmark manager that is designed be to be minimal, fast, and easy to set up using Docker."
CTFd/CTFd,,6269,57.01,152,69,2025-09-26T00:53:14Z,https://github.com/CTFd/CTFd,flask,CTFs as you need them
inventree/InvenTree,,5818,68.83,116,271,2025-10-08T01:44:10Z,https://github.com/inventree/InvenTree,django,Open Source Inventory Management System
AsyncFuncAI/deepwiki-open,,11037,50.62,52,15,2025-10-01T22:15:41Z,https://github.com/AsyncFuncAI/deepwiki-open,fastapi,Open Source DeepWiki: AI-Powered Wiki Generator for GitHub/Gitlab/Bitbucket Repositories. Join the discord: https://discord.gg/gMwThUMeme
Azure-Samples/azure-search-openai-demo,,7326,65.89,111,57,2025-10-07T07:03:11Z,https://github.com/Azure-Samples/azure-search-openai-demo,flask,"A sample app for the Retrieval-Augmented Generation pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models  to power ChatGPT-style and Q&A experiences."
zyddnys/manga-image-translator,,8651,90.03,89,34,2025-10-03T14:48:13Z,https://github.com/zyddnys/manga-image-translator,fastapi,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/ (no longer working)
LibrePhotos/librephotos,,7800,100.0,78,115,2025-10-08T02:01:27Z,https://github.com/LibrePhotos/librephotos,"django,flask",A self-hosted open source photo management service. This is the repository of the backend.
hhyo/Archery,,6576,99.51,122,11,2025-10-08T13:11:58Z,https://github.com/hhyo/Archery,django,SQL 审核查询平台
infobyte/faraday,,5961,97.45,104,136,2025-10-03T17:14:08Z,https://github.com/infobyte/faraday,flask,Open Source Vulnerability Management Platform
traceloop/openllmetry,,6459,99.99,88,123,2025-10-08T14:27:39Z,https://github.com/traceloop/openllmetry,fastapi,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry"
tubearchivist/tubearchivist,,7020,55.23,72,124,2025-09-27T14:02:56Z,https://github.com/tubearchivist/tubearchivist,django,Your self hosted YouTube media server
crazyguitar/pysheeet,,8112,93.1,47,96,2025-09-23T14:50:25Z,https://github.com/crazyguitar/pysheeet,flask,Python Cheat Sheet
google/clusterfuzz,,5479,87.48,99,81,2025-10-08T17:05:50Z,https://github.com/google/clusterfuzz,flask,Scalable fuzzing infrastructure.
voicepaw/so-vits-svc-fork,,9143,94.67,31,36,2025-10-08T16:11:20Z,https://github.com/voicepaw/so-vits-svc-fork,fastapi,"so-vits-svc fork with realtime support, improved interface and more features."
QuentinFuxa/WhisperLiveKit,,7582,88.71,33,113,2025-10-06T18:02:03Z,https://github.com/QuentinFuxa/WhisperLiveKit,fastapi,Real-time & local speech-to-text server.
liangliangyy/DjangoBlog,,7170,85.05,25,34,2025-09-30T09:18:31Z,https://github.com/liangliangyy/DjangoBlog,django,🍺基于Django的博客系统
hanxi/xiaomusic,,5520,98.58,51,66,2025-10-08T10:36:50Z,https://github.com/hanxi/xiaomusic,fastapi,使用小爱音箱播放音乐，音乐使用 yt-dlp 下载。
Zipstack/unstract,,5836,81.04,24,114,2025-10-08T17:19:28Z,https://github.com/Zipstack/unstract,flask,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents
X-PLUG/MobileAgent,,5963,68.51,21,95,2025-09-28T03:16:54Z,https://github.com/X-PLUG/MobileAgent,fastapi,Mobile-Agent: The Powerful GUI Agent Family
huggingface/transformers,,150759,99.57,3600,1162,2025-10-08T17:31:43Z,https://github.com/huggingface/transformers,streamlit,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training."
langchain-ai/langchain,,116817,98.61,3526,710,2025-10-08T16:43:33Z,https://github.com/langchain-ai/langchain,fastapi,🦜🔗 Build context-aware reasoning applications
Significant-Gravitas/AutoGPT,,178877,63.21,795,391,2025-10-08T17:14:43Z,https://github.com/Significant-Gravitas/AutoGPT,fastapi,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
vllm-project/vllm,,59637,85.32,1651,2663,2025-10-08T17:13:50Z,https://github.com/vllm-project/vllm,"fastapi,flask",A high-throughput and memory-efficient inference and serving engine for LLMs
fastapi/fastapi,,90496,99.94,849,257,2025-10-08T17:23:49Z,https://github.com/fastapi/fastapi,flask,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
run-llama/llama_index,,44630,57.91,1737,377,2025-10-07T23:12:52Z,https://github.com/run-llama/llama_index,"fastapi,streamlit",LlamaIndex is the leading framework for building LLM-powered agents over your data.
ray-project/ray,,39236,73.81,1367,1478,2025-10-08T17:08:55Z,https://github.com/ray-project/ray,"fastapi,flask,gradio",Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
pallets/flask,,70513,99.89,857,25,2025-09-20T00:33:34Z,https://github.com/pallets/flask,flask,The Python micro framework for building web applications.
encode/django-rest-framework,,29540,91.46,1448,21,2025-10-08T12:47:05Z,https://github.com/encode/django-rest-framework,django,Web APIs for Django. 🎸
celery/celery,,27303,98.54,1440,38,2025-10-08T04:57:58Z,https://github.com/celery/celery,django,Distributed Task Queue (development branch)
bregman-arie/devops-exercises,,79246,66.12,216,10,2025-10-07T17:14:54Z,https://github.com/bregman-arie/devops-exercises,flask,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
All-Hands-AI/OpenHands,,webapp,78.32,386,595,2025-10-08T17:30:59Z,https://github.com/All-Hands-AI/OpenHands,"fastapi,flask,streamlit","🙌 OpenHands: Code Less, Make More"
Lightning-AI/pytorch-lightning,,30224,99.73,1043,193,2025-10-07T12:58:08Z,https://github.com/Lightning-AI/pytorch-lightning,fastapi,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
xtekky/gpt4free,,65387,98.25,259,375,2025-10-08T12:09:35Z,https://github.com/xtekky/gpt4free,"fastapi,flask","The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
microsoft/autogen,,50571,61.47,532,75,2025-10-08T04:58:17Z,https://github.com/microsoft/autogen,fastapi,A programming framework for agentic AI
geekcomputers/Python,,34119,94.38,823,220,2025-10-08T15:29:57Z,https://github.com/geekcomputers/Python,"django,fastapi,flask",My Python Examples
Shubhamsaboo/awesome-llm-apps,,71410,66.8,53,90,2025-10-08T02:58:42Z,https://github.com/Shubhamsaboo/awesome-llm-apps,"fastapi,gradio,streamlit","Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
ultralytics/yolov5,,55578,98.45,346,11,2025-10-04T12:12:42Z,https://github.com/ultralytics/yolov5,flask,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
hiyouga/LLaMA-Factory,,59817,99.55,218,70,2025-10-07T16:18:35Z,https://github.com/hiyouga/LLaMA-Factory,"fastapi,gradio",Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
sgl-project/sglang,,18667,75.39,696,1774,2025-10-08T16:53:22Z,https://github.com/sgl-project/sglang,fastapi,SGLang is a fast serving framework for large language models and vision language models.
pytest-dev/pytest,,13144,99.99,1059,130,2025-10-08T05:57:49Z,https://github.com/pytest-dev/pytest,django,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing"
gradio-app/gradio,,40135,52.43,454,245,2025-10-08T17:00:49Z,https://github.com/gradio-app/gradio,"fastapi,gradio","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
unclecode/crawl4ai,,54327,99.39,49,97,2025-10-08T10:43:28Z,https://github.com/unclecode/crawl4ai,"fastapi,flask","🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
RVC-Boss/GPT-SoVITS,,51386,96.56,93,20,2025-09-10T07:01:05Z,https://github.com/RVC-Boss/GPT-SoVITS,"fastapi,gradio",1 min voice data can also be used to train a good TTS model! (few shot voice cloning)
Azure/azure-sdk-for-python,,5335,99.61,856,641,2025-10-08T16:48:22Z,https://github.com/Azure/azure-sdk-for-python,"django,flask",This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python.
agno-agi/agno,,34159,99.53,310,451,2025-10-08T17:23:22Z,https://github.com/agno-agi/agno,"fastapi,streamlit","High-performance SDK and runtime for multi-agent systems. Build, run and manage secure multi-agent systems in your cloud."
mem0ai/mem0,,40910,66.24,239,124,2025-10-07T08:42:59Z,https://github.com/mem0ai/mem0,"fastapi,flask,gradio,streamlit",Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
FoundationAgents/OpenManus,,50170,97.85,60,33,2025-09-30T21:06:32Z,https://github.com/FoundationAgents/OpenManus,fastapi,"No fortress, purely open ground.  OpenManus is Coming."
hpcaitech/ColossalAI,,41196,93.16,197,121,2025-10-06T17:48:50Z,https://github.com/hpcaitech/ColossalAI,"fastapi,gradio,streamlit","Making large AI models cheaper, faster and more accessible"
pennersr/django-allauth,,10152,94.78,788,58,2025-10-05T18:08:30Z,https://github.com/pennersr/django-allauth,django,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication. 🔁 Mirror of https://codeberg.org/allauth/django-allauth/"
pathwaycom/pathway,,45712,66.74,30,179,2025-10-08T05:02:39Z,https://github.com/pathwaycom/pathway,"fastapi,streamlit","Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
beetbox/beets,,14000,95.82,622,337,2025-10-07T22:39:48Z,https://github.com/beetbox/beets,flask,music library manager and MusicBrainz tagger
Aider-AI/aider,,37841,80.07,174,91,2025-10-05T19:11:17Z,https://github.com/Aider-AI/aider,streamlit,aider is AI pair programming in your terminal
pytorch/tutorials,,8818,96.59,752,94,2025-10-02T17:52:52Z,https://github.com/pytorch/tutorials,flask,PyTorch tutorials.
NanmiCoder/MediaCrawler,,37683,100.0,61,108,2025-10-02T06:27:20Z,https://github.com/NanmiCoder/MediaCrawler,fastapi,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫
NVIDIA-NeMo/NeMo,,15824,79.9,457,208,2025-10-08T14:08:05Z,https://github.com/NVIDIA-NeMo/NeMo,"fastapi,flask","A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)"
pyinstaller/pyinstaller,,12645,69.12,481,88,2025-10-05T19:13:37Z,https://github.com/pyinstaller/pyinstaller,django,Freeze (package) Python programs into stand-alone executables
django-extensions/django-extensions,,6750,95.02,604,15,2025-10-03T07:03:35Z,https://github.com/django-extensions/django-extensions,django,This is a repository for collecting global custom management extensions for the Django Framework.
volcengine/verl,,14083,92.28,353,453,2025-10-07T19:13:46Z,https://github.com/volcengine/verl,fastapi,verl: Volcano Engine Reinforcement Learning for LLMs
qutebrowser/qutebrowser,,10939,74.79,472,75,2025-10-06T10:58:16Z,https://github.com/qutebrowser/qutebrowser,flask,"A keyboard-driven, vim-like browser based on Python and Qt."
great-expectations/great_expectations,,10816,99.4,453,98,2025-10-08T17:28:26Z,https://github.com/great-expectations/great_expectations,flask,Always know what to expect from your data.
huggingface/peft,,19765,99.46,253,106,2025-10-08T15:01:52Z,https://github.com/huggingface/peft,gradio,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
prowler-cloud/prowler,,12178,91.61,333,435,2025-10-08T17:21:33Z,https://github.com/prowler-cloud/prowler,"django,flask","Prowler is the Open Cloud Security platform for AWS, Azure, GCP, Kubernetes, M365 and more. It helps for continuous monitoring, security assessments & audits, incident response, compliance, hardening and forensics readiness. Includes CIS, NIST 800, NIST CSF, CISA, FedRAMP, PCI-DSS, GDPR, HIPAA, FFIEC, SOC2, ENS and more"
cloud-custodian/cloud-custodian,,5821,98.09,523,45,2025-10-08T15:07:26Z,https://github.com/cloud-custodian/cloud-custodian,flask,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources"
spotDL/spotify-downloader,,22316,99.59,173,133,2025-10-08T10:55:05Z,https://github.com/spotDL/spotify-downloader,fastapi,Download your Spotify playlists and songs along with album art and metadata (from YouTube if a match is found).
datalab-to/marker,,29091,99.67,29,170,2025-10-07T16:48:58Z,https://github.com/datalab-to/marker,"fastapi,streamlit",Convert PDF to markdown + JSON quickly with high accuracy
conda/conda,,7123,98.21,473,140,2025-10-07T07:56:06Z,https://github.com/conda/conda,"django,flask","A system-level, binary package and environment manager running on all major operating systems and platforms."
PaddlePaddle/PaddleNLP,,12792,83.77,375,60,2025-09-30T07:39:43Z,https://github.com/PaddlePaddle/PaddleNLP,"fastapi,gradio",Easy-to-use and powerful LLM and SLM library with awesome model zoo.
benoitc/gunicorn,,10287,99.9,432,12,2025-10-06T15:42:45Z,https://github.com/benoitc/gunicorn,flask,"gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications."
microsoft/graphrag,,28518,96.06,50,25,2025-10-07T23:26:28Z,https://github.com/microsoft/graphrag,streamlit,A modular graph-based Retrieval-Augmented Generation (RAG) system
bridgecrewio/checkov,,8057,75.46,432,77,2025-10-08T15:38:32Z,https://github.com/bridgecrewio/checkov,"django,flask","Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew."
HypothesisWorks/hypothesis,,8101,91.14,353,467,2025-10-05T22:45:51Z,https://github.com/HypothesisWorks/hypothesis,django,The property-based testing library for Python
mlc-ai/mlc-llm,,21445,68.49,148,39,2025-10-06T16:28:25Z,https://github.com/mlc-ai/mlc-llm,fastapi,Universal LLM Deployment Engine with ML Compilation
fortra/impacket,,14931,99.99,277,39,2025-10-02T14:38:29Z,https://github.com/fortra/impacket,flask,Impacket is a collection of Python classes for working with network protocols.
sinaptik-ai/pandas-ai,,22212,99.44,111,63,2025-10-07T08:22:12Z,https://github.com/sinaptik-ai/pandas-ai,fastapi,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
openai/openai-agents-python,,15729,99.93,170,311,2025-10-08T15:48:45Z,https://github.com/openai/openai-agents-python,fastapi,"A lightweight, powerful framework for multi-agent workflows"
google/adk-python,,13531,98.83,144,618,2025-10-08T06:07:21Z,https://github.com/google/adk-python,"fastapi,flask","An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
spyder-ide/spyder,,8944,92.33,267,439,2025-10-07T23:37:04Z,https://github.com/spyder-ide/spyder,django,Official repository for Spyder - The Scientific Python Development Environment
serengil/deepface,,20704,99.05,96,56,2025-09-26T12:24:25Z,https://github.com/serengil/deepface,flask,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
camel-ai/camel,,14440,96.32,167,321,2025-10-08T14:57:41Z,https://github.com/camel-ai/camel,"flask,streamlit",🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org
pallets-eco/flask-admin,,6003,87.43,382,49,2025-10-03T12:22:44Z,https://github.com/pallets-eco/flask-admin,flask,Simple and extensible administrative interface framework for Flask
huggingface/lerobot,,17766,99.85,119,154,2025-10-08T17:03:28Z,https://github.com/huggingface/lerobot,flask,🤗 LeRobot: Making AI for Robotics more accessible with end-to-end learning
skypilot-org/skypilot,,8806,87.4,168,799,2025-10-08T17:03:06Z,https://github.com/skypilot-org/skypilot,"fastapi,streamlit","Run, manage, and scale AI workloads on any AI infrastructure. Use one system to access & manage all AI compute (Kubernetes, 17+ clouds, or on-prem)."
zauberzeug/nicegui,,14113,90.28,183,149,2025-10-08T16:25:25Z,https://github.com/zauberzeug/nicegui,fastapi,Create web-based user interfaces with Python. The nice way.
567-labs/instructor,,11586,99.99,226,157,2025-10-08T00:20:20Z,https://github.com/567-labs/instructor,fastapi,structured outputs for llms
django-commons/django-debug-toolbar,,8289,79.29,314,26,2025-10-07T16:21:58Z,https://github.com/django-commons/django-debug-toolbar,django,A configurable set of panels that display various debug information about the current request/response.
OpenBMB/MiniCPM-V,,22035,83.28,33,50,2025-09-24T15:03:00Z,https://github.com/OpenBMB/MiniCPM-V,"fastapi,gradio","MiniCPM-V 4.5: A GPT-4o Level MLLM for Single Image, Multi Image and High-FPS Video Understanding on Your Phone"
