repo_full_name,stars,python_pct,contributors,commits_last_120d,pushed_at,html_url,web_frameworks_detected,description
langchain-ai/langchain,116892,98.60,3526,946,2025-10-09T17:35:54Z,https://github.com/langchain-ai/langchain,fastapi,🦜🔗 Build context-aware reasoning applications
apache/airflow,42726,92.08,3911,2489,2025-10-09T16:50:58Z,https://github.com/apache/airflow,flask,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
vllm-project/vllm,59703,85.34,1657,3237,2025-10-09T17:13:56Z,https://github.com/vllm-project/vllm,"fastapi,flask",A high-throughput and memory-efficient inference and serving engine for LLMs
ray-project/ray,39255,73.85,1367,1892,2025-10-09T17:23:43Z,https://github.com/ray-project/ray,"fastapi,flask,gradio",Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
celery/celery,27309,98.56,1440,62,2025-10-09T16:39:53Z,https://github.com/celery/celery,django,Distributed Task Queue (development branch)
All-Hands-AI/OpenHands,64048,78.34,387,855,2025-10-09T17:39:20Z,https://github.com/All-Hands-AI/OpenHands,"fastapi,flask,streamlit","🙌 OpenHands: Code Less, Make More"
Lightning-AI/pytorch-lightning,30228,99.73,1043,240,2025-10-07T12:58:08Z,https://github.com/Lightning-AI/pytorch-lightning,fastapi,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
huggingface/diffusers,31034,99.95,993,363,2025-10-09T13:12:18Z,https://github.com/huggingface/diffusers,fastapi,"🤗 Diffusers: State-of-the-art diffusion models for image, video, and audio generation in PyTorch."
xtekky/gpt4free,65391,98.26,259,544,2025-10-09T17:39:15Z,https://github.com/xtekky/gpt4free,"fastapi,flask","The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
mindsdb/mindsdb,36325,99.82,878,281,2025-10-09T15:03:39Z,https://github.com/mindsdb/mindsdb,"fastapi,flask","AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need"
geekcomputers/Python,34121,94.38,823,313,2025-10-09T16:38:44Z,https://github.com/geekcomputers/Python,"django,fastapi,flask",My Python Examples
wagtail/wagtail,19692,76.12,1017,422,2025-10-07T09:38:21Z,https://github.com/wagtail/wagtail,django,A Django content management system focused on flexibility and user experience
hiyouga/LLaMA-Factory,59872,99.55,218,108,2025-10-09T14:39:37Z,https://github.com/hiyouga/LLaMA-Factory,"fastapi,gradio",Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
freqtrade/freqtrade,43441,98.34,369,992,2025-10-09T04:31:49Z,https://github.com/freqtrade/freqtrade,fastapi,"Free, open source crypto trading bot"
mitmproxy/mitmproxy,40790,80.60,578,53,2025-10-09T15:52:24Z,https://github.com/mitmproxy/mitmproxy,flask,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
oobabooga/text-generation-webui,45128,88.01,372,368,2025-10-09T16:31:11Z,https://github.com/oobabooga/text-generation-webui,"fastapi,gradio","The definitive Web UI for local AI, with powerful features and easy setup."
unclecode/crawl4ai,54368,99.39,49,122,2025-10-09T14:26:38Z,https://github.com/unclecode/crawl4ai,"fastapi,flask","🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
dagster-io/dagster,14175,79.24,606,1222,2025-10-09T17:39:28Z,https://github.com/dagster-io/dagster,"fastapi,flask,streamlit","An orchestration platform for the development, production, and observation of data assets."
hpcaitech/ColossalAI,41200,93.16,197,121,2025-10-06T17:48:50Z,https://github.com/hpcaitech/ColossalAI,"fastapi,gradio,streamlit","Making large AI models cheaper, faster and more accessible"
